season_code,match_code,round,home_team,away_team,kickoff_at,venue,status
WC2026,M001,GROUP_STAGE,Mexico,South Africa,2026-06-12 02:00:00,"Mexico City, Mexico",DRAFT
WC2026,M002,GROUP_STAGE,South Korea,Czech Republic,2026-06-12 09:00:00,"Zapopan, Mexico",DRAFT
WC2026,M003,GROUP_STAGE,Canada,Bosnia & Herzegovina,2026-06-13 02:00:00,"Toronto, Canada",DRAFT
WC2026,M004,GROUP_STAGE,USA,Paraguay,2026-06-13 08:00:00,"Los Angeles, USA",DRAFT
WC2026,M005,GROUP_STAGE,Qatar,Switzerland,2026-06-14 02:00:00,"Santa Clara, USA",DRAFT
WC2026,M006,GROUP_STAGE,Brazil,Morocco,2026-06-14 05:00:00,"New Jersey, USA",DRAFT
WC2026,M007,GROUP_STAGE,Haiti,Scotland,2026-06-14 08:00:00,"Foxborough, USA",DRAFT
WC2026,M008,GROUP_STAGE,Australia,Turkey,2026-06-14 11:00:00,"Vancouver, Canada",DRAFT
WC2026,M009,GROUP_STAGE,Germany,Curacao,2026-06-15 00:00:00,"Houston, USA",DRAFT
WC2026,M010,GROUP_STAGE,Netherlands,Japan,2026-06-15 03:00:00,"Arlington, USA",DRAFT
WC2026,M011,GROUP_STAGE,Ivory Coast,Ecuador,2026-06-15 06:00:00,"Philadelphia, USA",DRAFT
WC2026,M012,GROUP_STAGE,Sweden,Tunisia,2026-06-15 09:00:00,"Guadalupe, Mexico",DRAFT
WC2026,M013,GROUP_STAGE,Spain,Cape Verde,2026-06-15 23:00:00,"Atlanta, USA",DRAFT
WC2026,M014,GROUP_STAGE,Belgium,Egypt,2026-06-16 02:00:00,"Seattle, USA",DRAFT
WC2026,M015,GROUP_STAGE,Saudi Arabia,Uruguay,2026-06-16 05:00:00,"Miami, USA",DRAFT
WC2026,M016,GROUP_STAGE,Iran,New Zealand,2026-06-16 08:00:00,"Los Angeles, USA",DRAFT
WC2026,M017,GROUP_STAGE,France,Senegal,2026-06-17 02:00:00,"New Jersey, USA",DRAFT
WC2026,M018,GROUP_STAGE,Iraq,Norway,2026-06-17 05:00:00,"Foxborough, USA",DRAFT
WC2026,M019,GROUP_STAGE,Argentina,Algeria,2026-06-17 08:00:00,"Kansas City, USA",DRAFT
